Profile 1;Profile 1;Profile 2;Profile 2;Profile 3;Profile 3;Profile 4;Profile 4;Profile 5;Profile 5;
x;y;x;y;x;y;x;y;x;y;
[m];[m];[m];[m];[m];[m];[m];[m];[m];[m];
8.5567916e-009;2.7858373e-009;8.6054268e-009;2.4001e-009;8.5806719e-009;2.45271e-009;8.5757643e-009;2.7296893e-009;8.5811531e-009;2.6750119e-009;
8.6679187e-009;2.7636691e-009;8.7171855e-009;2.3069554e-009;8.6921092e-009;2.3976364e-009;8.6871379e-009;2.7071573e-009;8.6925967e-009;2.6328732e-009;
8.7790459e-009;2.727115e-009;8.8289443e-009;2.2633789e-009;8.8035465e-009;2.3621274e-009;8.7985114e-009;2.6639875e-009;8.8040402e-009;2.5996675e-009;
8.8901731e-009;2.6855256e-009;8.9407031e-009;2.2673083e-009;8.9149838e-009;2.346822e-009;8.909885e-009;2.6011756e-009;8.9154837e-009;2.5797341e-009;
9.0013002e-009;2.6348308e-009;9.0524619e-009;2.3151535e-009;9.0264211e-009;2.3343533e-009;9.0212586e-009;2.5175532e-009;9.0269273e-009;2.5707268e-009;
9.1124274e-009;2.6024096e-009;9.1642207e-009;2.3527466e-009;9.1378584e-009;2.3091286e-009;9.1326321e-009;2.4219351e-009;9.1383708e-009;2.5777115e-009;
9.2235545e-009;2.5816102e-009;9.2759795e-009;2.3651284e-009;9.2492957e-009;2.2757964e-009;9.2440057e-009;2.3348729e-009;9.2498144e-009;2.5980635e-009;
9.3346817e-009;2.5699289e-009;9.3877383e-009;2.3487327e-009;9.360733e-009;2.2392538e-009;9.3553792e-009;2.2759006e-009;9.3612579e-009;2.6242187e-009;
9.4458089e-009;2.5602753e-009;9.4994971e-009;2.3069797e-009;9.4721702e-009;2.1983589e-009;9.4667528e-009;2.2447375e-009;9.4727015e-009;2.633535e-009;
9.556936e-009;2.5369993e-009;9.6112559e-009;2.2498644e-009;9.5836075e-009;2.1428433e-009;9.5781264e-009;2.2329995e-009;9.584145e-009;2.6063899e-009;
9.6680632e-009;2.5010756e-009;9.7230146e-009;2.1755723e-009;9.6950448e-009;2.068235e-009;9.6894999e-009;2.2200865e-009;9.6955886e-009;2.5256944e-009;
9.7791904e-009;2.4498564e-009;9.8347734e-009;2.0879587e-009;9.8064821e-009;1.9764269e-009;9.8008735e-009;2.1954771e-009;9.8070321e-009;2.4096387e-009;
9.8903175e-009;2.385244e-009;9.9465322e-009;1.9886993e-009;9.9179194e-009;1.8728258e-009;9.9122471e-009;2.1589656e-009;9.9184757e-009;2.2961086e-009;
1.0001445e-008;2.3038987e-009;1.0058291e-008;1.8747879e-009;1.0029357e-008;1.7644025e-009;1.0023621e-008;2.1192002e-009;1.0029919e-008;2.2264686e-009;
1.0112572e-008;2.2135885e-009;1.017005e-008;1.7452015e-009;1.0140794e-008;1.6565659e-009;1.0134994e-008;2.0808907e-009;1.0141363e-008;2.2025414e-009;
1.0223699e-008;2.1180546e-009;1.0281809e-008;1.594824e-009;1.0252231e-008;1.546916e-009;1.0246368e-008;2.0367168e-009;1.0252806e-008;2.2053154e-009;
1.0334826e-008;2.0251566e-009;1.0393567e-008;1.4305975e-009;1.0363669e-008;1.4299387e-009;1.0357741e-008;1.978003e-009;1.036425e-008;2.2057194e-009;
1.0445953e-008;1.9325069e-009;1.0505326e-008;1.2637012e-009;1.0475106e-008;1.2984585e-009;1.0469115e-008;1.9048819e-009;1.0475693e-008;2.1639946e-009;
1.0557081e-008;1.8427231e-009;1.0617085e-008;1.1099965e-009;1.0586543e-008;1.1639012e-009;1.0580488e-008;1.8231269e-009;1.0587137e-008;2.0914108e-009;
1.0668208e-008;1.7417711e-009;1.0728844e-008;1.0092494e-009;1.0697981e-008;1.0401234e-009;1.0691862e-008;1.7453665e-009;1.069858e-008;1.9919351e-009;
1.0779335e-008;1.624478e-009;1.0840603e-008;9.3444713e-010;1.0809418e-008;9.3222417e-010;1.0803236e-008;1.6764814e-009;1.0810024e-008;1.8739232e-009;
1.0890462e-008;1.4861723e-009;1.0952361e-008;8.7010425e-010;1.0920855e-008;8.4788788e-010;1.0914609e-008;1.6115703e-009;1.0921468e-008;1.7524353e-009;
1.1001589e-008;1.3387404e-009;1.106412e-008;7.9799744e-010;1.1032292e-008;7.7121779e-010;1.1025983e-008;1.5527252e-009;1.1032911e-008;1.638155e-009;
1.1112716e-008;1.1933497e-009;1.1175879e-008;7.0923484e-010;1.114373e-008;6.9456344e-010;1.1137356e-008;1.4986738e-009;1.1144355e-008;1.5370405e-009;
1.1223843e-008;1.0577533e-009;1.1287638e-008;6.2595636e-010;1.1255167e-008;6.0718176e-010;1.124873e-008;1.4563197e-009;1.1255798e-008;1.4458157e-009;
1.1334971e-008;9.3465097e-010;1.1399396e-008;5.6645918e-010;1.1366604e-008;5.2049074e-010;1.1360103e-008;1.4237578e-009;1.1367242e-008;1.357477e-009;
1.1446098e-008;8.1390624e-010;1.1511155e-008;5.4225798e-010;1.1478042e-008;4.4741036e-010;1.1471477e-008;1.3808842e-009;1.1478685e-008;1.2735891e-009;
1.1557225e-008;6.9444802e-010;1.1622914e-008;5.3915418e-010;1.1589479e-008;3.9729903e-010;1.158285e-008;1.3092857e-009;1.1590129e-008;1.1969642e-009;
1.1668352e-008;5.9084994e-010;1.1734673e-008;5.3889296e-010;1.1700916e-008;3.877926e-010;1.1694224e-008;1.2055738e-009;1.1701572e-008;1.1406853e-009;
1.1779479e-008;5.1376942e-010;1.1846432e-008;5.1291275e-010;1.1812353e-008;3.9609676e-010;1.1805598e-008;1.0759488e-009;1.1813016e-008;1.1040183e-009;
1.1890606e-008;4.6778593e-010;1.195819e-008;4.7089177e-010;1.1923791e-008;4.0410383e-010;1.1916971e-008;9.3686313e-010;1.192446e-008;1.0737154e-009;
1.2001734e-008;4.4584523e-010;1.2069949e-008;4.2495294e-010;1.2035228e-008;4.0434632e-010;1.2028345e-008;8.0368037e-010;1.2035903e-008;1.0312802e-009;
1.2112861e-008;4.269628e-010;1.2181708e-008;3.9083321e-010;1.2146665e-008;3.944171e-010;1.2139718e-008;6.7548715e-010;1.2147347e-008;9.6841497e-010;
1.2223988e-008;3.8887016e-010;1.2293467e-008;3.7193687e-010;1.2258103e-008;3.8362863e-010;1.2251092e-008;5.5596577e-010;1.225879e-008;8.9917266e-010;
1.2335115e-008;3.3193779e-010;1.2405226e-008;3.6867932e-010;1.236954e-008;3.76899e-010;1.2362465e-008;4.5610276e-010;1.2370234e-008;8.3692049e-010;
1.2446242e-008;2.671429e-010;1.2516984e-008;3.6598987e-010;1.2480977e-008;3.7427749e-010;1.2473839e-008;3.8637252e-010;1.2481677e-008;7.8662899e-010;
1.2557369e-008;2.1516654e-010;1.2628743e-008;3.5920304e-010;1.2592415e-008;3.7011218e-010;1.2585213e-008;3.5120369e-010;1.2593121e-008;7.3709302e-010;
1.2668497e-008;1.9086388e-010;1.2740502e-008;3.4891614e-010;1.2703852e-008;3.5585568e-010;1.2696586e-008;3.3981231e-010;1.2704564e-008;6.6050171e-010;
1.2779624e-008;1.8529492e-010;1.2852261e-008;3.3703216e-010;1.2815289e-008;3.2955188e-010;1.280796e-008;3.2809891e-010;1.2816008e-008;5.6091613e-010;
1.2890751e-008;1.901552e-010;1.296402e-008;3.3054991e-010;1.2926726e-008;3.0740834e-010;1.2919333e-008;3.0606431e-010;1.2927451e-008;4.5161585e-010;
1.3001878e-008;1.9403326e-010;1.3075778e-008;3.2619526e-010;1.3038164e-008;2.9874136e-010;1.3030707e-008;2.6371587e-010;1.3038895e-008;3.6334121e-010;
1.3113005e-008;1.9350604e-010;1.3187537e-008;3.267401e-010;1.3149601e-008;3.0777038e-010;1.314208e-008;2.2758743e-010;1.3150339e-008;3.144839e-010;
1.3224132e-008;1.9534338e-010;1.3299296e-008;3.323526e-010;1.3261038e-008;3.3887149e-010;1.3253454e-008;2.1786398e-010;1.3261782e-008;3.0269727e-010;
1.333526e-008;2.0357358e-010;1.3411055e-008;3.3635572e-010;1.3372476e-008;3.8200537e-010;1.3364827e-008;2.3381827e-010;1.3373226e-008;3.0974826e-010;
1.3446387e-008;2.1991628e-010;1.3522813e-008;3.380808e-010;1.3483913e-008;4.2291872e-010;1.3476201e-008;2.6890923e-010;1.3484669e-008;3.2070802e-010;
1.3557514e-008;2.3655226e-010;1.3634572e-008;3.2839351e-010;1.359535e-008;4.5805246e-010;1.3587575e-008;3.0300363e-010;1.3596113e-008;3.3507669e-010;
1.3668641e-008;2.4620963e-010;1.3746331e-008;3.109564e-010;1.3706788e-008;4.86253e-010;1.3698948e-008;3.2343981e-010;1.3707556e-008;3.4236887e-010;
1.3779768e-008;2.495993e-010;1.385809e-008;2.8780398e-010;1.3818225e-008;5.0731221e-010;1.3810322e-008;3.24265e-010;1.3819e-008;3.3943153e-010;
1.3890895e-008;2.5091838e-010;1.3969849e-008;2.6335629e-010;1.3929662e-008;5.1520879e-010;1.3921695e-008;3.0006656e-010;1.3930443e-008;3.165666e-010;
1.4002023e-008;2.5626586e-010;1.4081607e-008;2.4179094e-010;1.4041099e-008;5.1164212e-010;1.4033069e-008;2.5240243e-010;1.4041887e-008;2.7114628e-010;
1.411315e-008;2.7088766e-010;1.4193366e-008;2.2318706e-010;1.4152537e-008;4.9369476e-010;1.4144442e-008;1.9263542e-010;1.415333e-008;2.2107599e-010;
1.4224277e-008;2.9185315e-010;1.4305125e-008;2.1169791e-010;1.4263974e-008;4.6054813e-010;;;1.4264774e-008;1.8960187e-010;
1.4335404e-008;3.1682585e-010;1.4416884e-008;2.1021723e-010;1.4375411e-008;4.2055876e-010;;;1.4376218e-008;1.9278036e-010;
1.4446531e-008;3.4398475e-010;1.4528643e-008;2.1744615e-010;1.4486849e-008;3.8173826e-010;;;1.4487661e-008;2.2346074e-010;
1.4557658e-008;3.6869974e-010;1.4640401e-008;2.3407861e-010;1.4598286e-008;3.5680429e-010;;;1.4599105e-008;2.6595564e-010;
1.4668786e-008;3.8837755e-010;1.475216e-008;2.4950061e-010;1.4709723e-008;3.4795032e-010;;;1.4710548e-008;2.9949372e-010;
1.4779913e-008;3.9688913e-010;1.4863919e-008;2.6032165e-010;1.4821161e-008;3.5652538e-010;;;1.4821992e-008;3.0981863e-010;
1.489104e-008;3.9345755e-010;1.4975678e-008;2.7193284e-010;1.4932598e-008;3.7769024e-010;;;1.4933435e-008;3.0471295e-010;
1.5002167e-008;3.8278499e-010;1.5087437e-008;2.8633293e-010;1.5044035e-008;4.0978117e-010;;;1.5044879e-008;2.9764448e-010;
1.5113294e-008;3.7195189e-010;1.5199195e-008;3.1367829e-010;1.5155472e-008;4.3686212e-010;;;1.5156322e-008;2.98598e-010;
1.5224421e-008;3.6327819e-010;1.5310954e-008;3.4042717e-010;1.526691e-008;4.5773403e-010;;;1.5267766e-008;3.1969042e-010;
1.5335549e-008;3.6311851e-010;1.5422713e-008;3.6192332e-010;1.5378347e-008;4.670913e-010;;;1.5379209e-008;3.5079041e-010;
1.5446676e-008;3.6628615e-010;1.5534472e-008;3.7054949e-010;1.5489784e-008;4.6257028e-010;;;1.5490653e-008;3.8387064e-010;
1.5557803e-008;3.5991095e-010;1.564623e-008;3.6632608e-010;;;;;1.5602097e-008;4.0358722e-010;
1.566893e-008;3.480245e-010;;;;;;;1.571354e-008;4.0382337e-010;
1.5780057e-008;3.3531556e-010;;;;;;;;;
1.5891184e-008;3.3191771e-010;;;;;;;;;
1.6002312e-008;3.3700626e-010;;;;;;;;;
1.6113439e-008;3.4417133e-010;;;;;;;;;
1.6224566e-008;3.4583735e-010;;;;;;;;;
1.6335693e-008;3.3593803e-010;;;;;;;;;
1.644682e-008;3.2313499e-010;;;;;;;;;
1.6557947e-008;3.1929746e-010;;;;;;;;;
1.6669074e-008;3.2651757e-010;;;;;;;;;
1.6780202e-008;3.406191e-010;;;;;;;;;
